Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
,,,,Interrogating the role of NOX4 in colon cancer metastasis.,"KM Bauer, S Buechler, AB Hummon",Cancer Research,"73 (8 Supplement), 3218-3218",1,2013,ZHo1McVdvXMC,
,,,,Mass‐spectrometric investigations of caloric restriction mimetics,"MJ Bibyk, MJ Campbell, AB Hummon",Proteomics,2000121,0,2021,tOudhMTPpwUC,
,,,,Cyclic Peptidyl Inhibitors against CAL/CFTR Interaction for Treatment of Cystic Fibrosis,"PG Dougherty, JH Wellmerling, A Koley, JK Lukowski, AB Hummon, ...",Journal of Medicinal Chemistry,,0,2020,K3LRdlH-MEoC,
,,,,A Peptidyl Inhibitor that Blocks Calcineurin–NFAT Interaction and Prevents Acute Lung Injury,"PG Dougherty, M Karpurapu, A Koley, JK Lukowski, Z Qian, ...",Journal of Medicinal Chemistry,"63 (21), 12853-12872",0,2020,WbkHhVStYXYC,
,,,,"Proteomics of Colorectal Cancer: Tumors, Organoids, and Cell Cultures—A Minireview","PH Lindhorst, AB Hummon",Frontiers in Molecular Biosciences,7,0,2020,738O_yMBCRsC,
,,,,Electroblotting through a tryptic membrane for LC-MS/MS analysis of proteins separated in electrophoretic gels,"AN Bickner, MM Champion, AB Hummon, ML Bruening",Analyst,"145 (23), 7724-7735",0,2020,Tiz5es2fbqcC,
,,,,MAPK pathway expression in platinum-treated cancers,"RA Georgiadis, A Stark, AB Hummon",Cancer Research,"79 (13 Supplement), 2075-2075",0,2019,2osOgNQ5qMEC,
,,,,Pulsed isotopic labeling of hypoxic and normoxic cellular populations,A Hummon,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,257,0,2019,xtRiw3GOFMkC,
,,,,Virtual Issue Highlighting Selected Women Analytical Chemists,"CL Haynes, A Hummon, BJ Venton",Analytical chemistry,"90 (3), 1433-1433",0,2018,R3hNpaxXUhUC,
,,,,ColotypeR: A tool to classify colon cancers by consensus molecular subtype and subtype-specific risk of recurrence.,"S Buechler, SS Badve, Y Gokmen-Polar, E Herring, K Ludwig, A Hummon",Journal of Clinical Oncology,"36 (4_suppl), 632-632",0,2018,Se3iqnhoufwC,
,,,,Abstract IA04: Targeting the expression of EWS-FLI1,"N Sen, K Ludwig, GO Rangel-Rivera, S Kim, K Huppi, L Jenkins, ...",Clinical Cancer Research,"24 (2 Supplement), IA04-IA04",0,2018,b0M2c_1WBrUC,
,,,,Targeting the expression of EWS-FLI1,"N Sen, K Ludwig, GO Rangel-Rivera, S Kim, K Huppi, L Jenkins, ...",CLINICAL CANCER RESEARCH,"24 (2), 18-19",0,2018,_kc_bZDykSQC,
,,,,Abstract B42: Combination of liquid chromatography-surface enhanced Raman spectroscopy and liquid chromatography-mass spectrometry to identify SUMOylated proteins due to …,"MM Schroll, ZD Schultz, AB Hummon",Cancer Research,"77 (6 Supplement), B42-B42",0,2017,ufrVoPGSRksC,
,,,,Combination of liquid chromatography-surface enhanced Raman spectroscopy and liquid chromatography-mass spectrometry to identify SUMOylated proteins due to nutrient restriction …,"MM Schroll, ZD Schultz, AB Hummon",CANCER RESEARCH,77,0,2017,rO6llkc54NcC,
,,,,Stratification of left-side and right-side colon cancer,"S Buechler, AB Hummon",US Patent,"9,580,756",0,2017,9yKSN-GCB0IC,
,,,,Abstract A05: Proteomic analysis of exosome content changes induced by gemcitabine in pancreatic cancer stromal cells,"W Huang, P Feist, A Hummon, R Hill",Cancer Research,"76 (24 Supplement), A05-A05",0,2016,UebtZRa9Y70C,
,,,,Tunable fluidic device for modeling the invasive tumor microenvironment in a colon carcinoma three dimensional tumor model,"E Weaver, A Hummon, P Zorlutuna",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,252,0,2016,JV2RwH3_ST0C,
,,,,Exploring the permissive stromal microenvironment,"A Hummon, P Zorlutuna, E Weaver",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,251,0,2016,QIV2ME_5wuYC,
,,,,Evaluating small molecule histone inhibitors with high resolution mass spectrometry and 3D cell cultures,"A Hummon, B Garcia, S Sidoli, M Schroll, X Liu, P Feist",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,251,0,2016,Tyk-4Ss8FVUC,
,,,,Modeling of EMT process in 3D cultures and proteomic analysis of differential protein expression in EMT related drug resistance in colorectal cancer cells,"X Yue, A Hummon",CLINICAL CANCER RESEARCH,21,0,2015,dshw04ExmUIC,
,,,,Abstract B48: Modeling of EMT process in 3D cultures and proteomic analysis of differential protein expression in EMT related drug resistance in colorectal cancer cells,"X Yue, A Hummon",Clinical Cancer Research,"21 (4 Supplement), B48-B48",0,2015,j3f4tGmQtD8C,
,,,,MALDI imaging mass spectrometry of 3D cell cultures,"AB Hummon, EM Weaver, X Liu, X Yue, H Li",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,248,0,2014,IWHjjKOFINEC,
,,,,Interrogating the effect of a miRNA cluster on the colon cancer transcriptome and proteome,"AB Hummon, KM Bauer",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,246,0,2013,WF5omc3nYNoC,
,,,,Proteomic Analysis to Identify Functional Molecules in Drug Resistance Caused by E-Cadherin Knockdown in 3D-Cultured Colorectal Cancer Models,"X Yue, AB Hummon",NOTRE DAME UNIV IN,,0,2013,8k81kl-MbHgC,
,,,,DrIMS-3DCC: Drug imaging mass spectrometry of 3D cell culture systems.,"X Liu, E Weaver, AB Hummon",Cancer Research,"73 (8 Supplement), 3219-3219",0,2013,qxL8FJ1GzNcC,
,,,,MALDI imaging mass spectrometry of three-dimensional cell culture systems,"AB Hummon, H Li, E Weaver",Cancer Research,"72 (8 Supplement), 1281-1281",0,2012,#NAME?,
,,,,EXPLOITING THE GENOME AND TRANSCRIPTOME FOR INDIVIDUALIZED CANCER DIAGNOSIS AND TREATMENT STRATIFICATION,"T Ried, J Camps, G Emons, A Hummon, BM Ghadimi, J Habermann, ...",CELLULAR ONCOLOGY,"32 (3), 160-160",0,2010,bEWYMUwI8FkC,
,,,,A COMBINED FUNCTIONAL AND SYSTEMS BIOLOGY APPROACH IDENTIFIES COLORECTAL CANCER GENES AS NOVEL POTENTIAL THERAPEUTIC TARGETS,"M Grade, AB Hummon, J Camps, G Emons, M Spitzner, J Gaedcke, ...",CELLULAR ONCOLOGY,"32 (3), 164-165",0,2010,YOwf2qJgpHMC,
,,,,Identifizierung potentieller Onkogene auf Chromosom 13q beim Kolonkarzinom,"G Emons, M Grade, J Camps, AB Hummon, J Gaedcke, H Becker, ...",Chirurgisches Forum und DGAV Forum,"2010, 81-82",0,2010,_FxGoFyzp5QC,
,,,,Abstract# 1991: Validation of novel colorectal cancer genes as potential therapeutic targets using functional genomics approaches,"M Grade, A Hummon, J Camps, G Emons, M Spitzner, J Gaedcke, ...",Cancer Research,"69 (9 Supplement), 1991-1991",0,2009,NhqRSupF_l8C,
,,,,Abstract# 1444: Functional validation of deregulated genes on chromosome 13 identifies novel candidate oncogenes in colon cancer,"J Camps, A Hummon, M Grade, G Emons, Q Nguyen, BM Ghadimi, ...",Cancer Research,"69 (9 Supplement), 1444-1444",0,2009,maZDTaKrznsC,
,,,,Validation of novel colorectal cancer genes as potential therapeutic targets using functional genomics approaches,"M Grade, A Hummon, J Camps, G Emons, M Spitzner, J Gaedcke, ...",CANCER RESEARCH,69,0,2009,ULOm3_A8WrAC,
,,,,Identifizierung und funktionelle Validierung potenzieller Zielgene beim kolorektalen Karzinom,"M Grade, G Emons, AB Hummon, J Camps, M Spitzner, P Hörmann, ...",Chirurgisches Forum und DGAV,2009: für experimentelle und klinische …,0,2009,70eg2SAEIzsC,
,,,,Identification and functional validation of potential target genes in colorectal cancers,"M Grade, G Emons, AB Hummon, J Camps, M Spitzner, P Hörmann, ...",Chirurgisches Forum und DGAV Forum,"2009, 27-28",0,2009,iH-uZ7U-co4C,
,,,,Identification and functional validation of deregulated genes in colorectal cancers,"M Grade, A Hummon, J Camps, G Emons, M Difilippantonio, M Ghadimi, ...",Cancer Research,"68 (9 Supplement), 4103-4103",0,2008,fPk4N6BV_jEC,
,,,,551 POSTER RNAi-based identification of potential targets in colorectal cancers,"M Grade, AB Hummon, J Camps, G Emons, M Spitzner, J Gaedcke, ...",Ejc Supplements,"12 (6), 174",0,2008,k_IJM867U9cC,
,,,,Identification and functional validation of candidate oncogenes in colorectal cancer,"G Emons, J Camps, M Grade, A Hummon, Q Nguyen, J Gaedcke, ...",CELLULAR ONCOLOGY,"30 (2), 149-150",0,2008,e5wmG9Sq2KIC,
,,,,Exploiting the genome and transcriptome for individualized cancer diagnosis and treatment stratification,"T Ried, M Grade, K Heselmeyer-Haddad, J Camps, A Hummon, G Emons, ...",CELLULAR ONCOLOGY,"30 (2), 91-91",0,2008,hqOjcs7Dif8C,
,,,,Causes and consequences of chromosomal aneuploidy in cancer cells,"T Ried, K Sengupta, J Camps, AB Hummon, HM Padilla-Nash, M Grade, ...",CYTOMETRY PART A,"71 (9), 746-746",0,2007,f2IySw72cVMC,
,,,,Genome based neuropeptidomics in a social insect: the honeybee Apis mellifera,"P Verleyen, G Baggerman, A Bogaerts, TA Richmond, AB Hummon, ...","Chinese International bioactive neuropeptide conference, Date:",2007/05/10 …,0,2007,1sJd4Hv_s6UC,
,,,,SHORT TECHNICAL REPORTS-Isolation and solubilization of proteins after TRIZOL (R) extraction of RNA and DNA from patient material following prolonged storage,"AB Hummon, SR Lim, MJ Difilippantonio, T Ried",Biotechniques,"42 (4), 467",0,2007,pyW8ca7W8N0C,
,,,,Neuropeptidomics of the Honey Bee; Mass Spectrometry Driving Peptide and Gene Discovery,"TA Richmond, AB Hummon, P Verleyen, J Huybrechts, G Baggerman, ...","Pittsburgh Conference on Analytical Chemistry and Applied Spectroscopy, Date …",,0,2006,nb7KW1ujOQ8C,
,,,,Neuropeptidomics in the genome assemblies of the honeybee Apis mellifera and the red flour beetle Tribolium castaneum,"P Verleyen, G Baggerman, X Chen, TA Richmond, AB Hummon, ...",Proteomics,,0,2006,P5F9QuxV20EC,
,,,,A role for neuropeptidomics in the genome annotations of the honeybee Apis mellifera and the red flour beetle Tribolium castaneum,"P Verleyen, G Baggerman, X Chen, TA Richmond, AB Hummon, ...","Conference of European comparative endocrinologists, Date:",2006/08/29-2006 …,0,2006,bFI3QPDXJZMC,
,,,,The honey bee: from genome to peptidome,"P Verleyen, G Baggerman, J Huybrechts, E Vierstraete, L Schoofs, ...","Benelux congress of zoology, Date:","2006/10/27-2006/10/28, Location: Leuven …",0,2006,mVmsd5A6BfQC,
,,,,Neuropeptidomics of the honey bee CNS: combined mass spectrometric and bioinformatic approaches of a newly sequenced genome for neuropeptide discovery,"J Sweedler, T Richmond, P Verleyen, A Hummon, J Huybrechts, M Ewing, ...",,1st Cold Spring Harbor Laboratory/Wellcome Trust conference on Functional …,0,2005,_xSYboBqXhAC,
,,,,Neuropeptidomics of the Honey Bee CNS: A Mass Spectrometric Onslaught of a Newly Sequenced Genome Resulting in Neuropeptide Discovery,"T Richmond, A Hummon, M Ewing, S Rodriguez-Zas, G Robinson, ...","ASMS Conference on Mass Spectrometry, Date:","2005/06/05-2005/06/09, Location …",0,2005,M05iB0D1s5AC,
,,,,Neuropeptidomics and the nascent genome annotation of the honeybee Apis mellifera,"P Verleyen, T Richmond, A Hummon, J Huybrechts, M Ewing, ...","International Conference on Arthropods: Chemical, Physiological and …",,0,2005,IjCSPb-OGe4C,
,,,,Predicting peptides from a genome: A complementary mass spectrometric/statistical prediction approach.,"A Hummon, TA Richmond, JV Sweedler",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"228, U122-U122",0,2004,M3NEmzRMIkIC,
,,,,"PROTEIN STRUCTURE AND FOLDING-Characterization of Aplysia Enticin and Temptin, Two Novel Water-borne Protein Pheromones That Act in Concert with Attractin to Stimulate Mate …","SF Cummins, AE Nichols, A Amare, AB Hummon, JV Sweedler, GT Nagle",Journal of Biological Chemistry,"279 (24), 25614-25622",0,2004,ldfaerwXgEUC,
,,,,From prohormones to neuropeptides: Mass spectrometric and bioinformatic approaches,AB Hummon,University of Illinois at Urbana-Champaign,,0,2004,0EnyYjriUFMC,
,,,,Neuropeptides from single cells to single organelles with MS.,"LJ Li, S Rubakhin, J Page, A Hummon, R Kruse, JV Sweedler",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"222, U108-U108",0,2001,hC7cP41nSMkC,
,,,,MSACL Eu 2014 Spatial metabolomics of three dimensional cell culture systems,"AD Palmer, E Weaver, M Becker, J Fuscher, A Hummon, T Alexandrov",,,0,NA,hMod-77fHWUC,
,,,,Insect Neuropeptides-Neuropeptide-like precursor,"AB Hummon, TA Richmond, P Verleyen, G Baggerman, J Huybrechts, ...",,,0,NA,LkGwnXOMwfcC,
"tomato, phytochemicals","cancer, cardiovascular disease",,yes,An update on the health effects of tomato lycopene,"EN Story, RE Kopec, SJ Schwartz, GK Harris",Annual review of food science and technology,"1, 189-210",307,2010,u-x6o8ySG0sC,
"tomato,fruits, phytochemicals",,yes,yes,"Identification and quantification of apo-lycopenals in fruits, vegetables, and human plasma","RE Kopec, KM Riedl, EH Harrison, RW Curley Jr, DP Hruszkewycz, ...",Journal of agricultural and food chemistry,"58 (6), 3290-3296",161,2010,u5HHmVD_uO8C,
"vegetables, tomato, fruits, phytochemicals",,yes,yes,Carotenoids are more bioavailable from papaya than from tomato and carrot in humans: a randomised cross-over study,"RM Schweiggert, RE Kopec, MG Villalobos-Gutierrez, J Högel, ...",British Journal of Nutrition,"111 (3), 490-498",121,2014,zYLM7Y9cAGgC,
,,,yes,Naturally occurring eccentric cleavage products of provitamin A β-carotene function as antagonists of retinoic acid receptors,"A Eroglu, DP Hruszkewycz, C dela Sena, S Narayanasamy, KM Riedl, ...",Journal of Biological Chemistry,"287 (19), 15886-15895",107,2012,9yKSN-GCB0IC,
"fruits, phytochemicals",,,yes,Carotene and Novel Apocarotenoid Concentrations in Orange-Fleshed Cucumis melo Melons: Determinations of β-Carotene Bioaccessibility and Bioavailability,"MK Fleshman, GE Lester, KM Riedl, RE Kopec, S Narayanasamy, ...",Journal of agricultural and food chemistry,"59 (9), 4448-4454",96,2011,d1gkVwhDpl0C,
"vegetables, tomato",,yes,yes,Avocado consumption enhances human postprandial provitamin A absorption and conversion from a novel high–β-carotene tomato sauce and from carrots,"RE Kopec, JL Cooperstone, RM Schweiggert, GS Young, EH Harrison, ...",The Journal of nutrition,"144 (8), 1158-1166",72,2014,8k81kl-MbHgC,
phytochemicals,,,yes,Recent advances in the bioaccessibility and bioavailability of carotenoids and effects of other dietary lipophiles,"RE Kopec, ML Failla",Journal of Food Composition and Analysis,"68, 16-30",69,2018,QIV2ME_5wuYC,
"tomato, phytochemicals",,,yes,Combined pressure–temperature effects on carotenoid retention and bioaccessibility in tomato juice,"R Gupta, RE Kopec, SJ Schwartz, VM Balasubramaniam",Journal of agricultural and food chemistry,"59 (14), 7808-7817",64,2011,2osOgNQ5qMEC,
"fruits, phytochemicals",,,yes,"Determination of Carotenoids, Total Phenolic Content, and Antioxidant Activity of Arazá (Eugenia stipitata McVaugh), an Amazonian Fruit","GA Garzón, CE Narváez-Cuenca, RE Kopec, AM Barry, KM Riedl, ...",Journal of agricultural and food chemistry,"60 (18), 4709-4717",61,2012,YsMSGLbcyi4C,
phytochemicals,"cardiovascular disease, cancer",,yes,Comparison of high‐performance liquid chromatography/tandem mass spectrometry and high‐performance liquid chromatography/photo‐diode array detection for the quantitation of …,"RE Kopec, RM Schweiggert, KM Riedl, R Carle, SJ Schwartz",Rapid Communications in Mass Spectrometry,"27 (12), 1393-1402",49,2013,Y0pCki6q_DkC,
"specialized diets, soy",,yes,yes,A Mediterranean-style low-glycemic-load diet increases plasma carotenoids and decreases LDL oxidation in women with metabolic syndrome,"J Barona, JJ Jones, RE Kopec, M Comperatore, C Andersen, SJ Schwartz, ...",The Journal of nutritional biochemistry,"23 (6), 609-615",45,2012,qjMakFHDy7sC,
,,,,Analysis methods of carotenoids,"RE Kopec, JL Cooperstone, MJ Cichon, SJ Schwartz",Analysis of antioxidant-rich phytochemicals,"5, 105-148",44,2012,IjCSPb-OGe4C,
"grains, phytochemicals, vitamins & minerals",,,yes,Concentration of pro-vitamin A carotenoids in common beef cattle feedstuffs,"CL Pickworth, SC Loerch, RE Kopec, SJ Schwartz, FL Fluharty",Journal of Animal Science,"90 (5), 1553-1561",35,2012,Tyk-4Ss8FVUC,
phytochemicals,,,yes,"Are lutein, lycopene, and β-carotene lost through the digestive process?","RE Kopec, B Gleize, P Borel, C Desmarchelier, C Caris-Veyrat",Food & function,"8 (4), 1494-1503",33,2017,4DMP91E08xMC,
phytochemicals,heart failure,yes,yes,Lycopene dietary intervention: a pilot study in patients with heart failure,"MJ Biddle, TA Lennie, GV Bricker, RE Kopec, SJ Schwartz, DK Moser",The Journal of cardiovascular nursing,"30 (3), 205",33,2015,eQOLeE2rZwMC,
vitamins & minerals,,yes,yes,A Combination of Single- Nucleotide Polymorphisms Is Associated with the Interindividual Variability in Cholecalciferol Bioavailability in Healthy Men,"E Desmarchelier, C., Borel, P., Gonclaves, A., Kopec. R., Nowicki, M ...",Journal of Nutrition,,17,2016,qxL8FJ1GzNcC,
"tomato, soy",prostate cancer,yes,yes,A novel tomato-soy juice induces a dose-response increase in urinary and plasma phytochemical biomarkers in men with prostate cancer,"EM Grainger, NE Moran, DM Francis, SJ Schwartz, L Wan, ...",The Journal of nutrition,"149 (1), 26-35",15,2019,TQgYirikUcIC,
"vegetables, phytochemicals, vitamins & minerals",,yes,yes,Relative contribution of α-carotene to postprandial vitamin A concentrations in healthy humans after carrot consumption,"JL Cooperstone, HJ Goetz, KM Riedl, EH Harrison, SJ Schwartz, ...",The American journal of clinical nutrition,"106 (1), 59-66",15,2017,9ZlFYXVOiuMC,
other,nonalcoholic steatohepatitis,,yes,Green Tea Extract Treatment in Obese Mice with Nonalcoholic Steatohepatitis Restores the Hepatic Metabolome in Association with Limiting Endotoxemia‐TLR4‐NFκB‐Mediated Inflammation,"GY Sasaki, J Li, MJ Cichon, KM Riedl, RE Kopec, RS Bruno",Molecular nutrition & food research,"63 (24), 1900811",12,2019,j3f4tGmQtD8C,
